artist,year,song,album
"Jo Stafford",1952,"You Belong to Me",NULL
"Band Aid",1984,"Do They Know It's Christmas?",NULL
"Mariah Carey & Boyz II Men",1995,"One Sweet Day",NULL
"The Chordettes",1954,"Mister Sandman",NULL
"Zager & Evans",1969,"In the Year 2525 (Exordium & Terminus)",NULL
"Beyonce & Shakira",2007,"Beautiful Liar",NULL
"Everything But The Girl",1996,Missing,NULL
"The Mills Brothers",1943,"Paper Doll",NULL
Eamon,2004,"F**k it (I Don't Want You Back)",NULL
"Patti Page",1950,"Tennessee Waltz",NULL
Chumbawamba,1997,Tubthumping,NULL
"Fats Domino",1956,"Blueberry Hill",NULL
"Elvis Presley & JXL",2002,"A Little Less Conversation",NULL
"Domenico Modugno",1958,Volare,NULL
"Daniel Powter",2005,"Bad Day",NULL
"Carly Rae Jepsen",2012,"Call Me Maybe",NULL
"Nelly Furtado & Timbaland",2006,Promiscuous,NULL
"Patrick Hernandez",1979,"Born to Be Alive",NULL
"Culture Beat",1993,"Mr Vain",NULL
"Pat Boone",1962,"Speedy Gonzales",NULL
"The Crew-Cuts",1954,"Sh-Boom (Life Could Be a Dream)",NULL
"Bill Medley & Jennifer Warnes",1987,"(I've Had) the Time of My Life",NULL
"The Platters",1959,"Smoke Gets in Your Eyes",NULL
Rednex,1994,"Cotton Eye Joe",NULL
"LeAnn Rimes",2001,"Can't Fight the Moonlight",NULL
"Shaggy & Ricardo 'RikRok' Ducent",2001,"It Wasn't Me",NULL
"Teresa Brewer",1950,"(Put Another Nickel In) Music! Music! Music!",NULL
"Rocco Granata",1960,Marina,NULL
"David Guetta & Akon",2009,"Sexy Chick (sexy Bitch)",NULL
"Les Brown & Doris Day",1945,"Sentimental Journey",NULL
"Jennifer Lopez & Pitbull",2011,"On The Floor",NULL
Haddaway,1993,"What is Love?",NULL
"Scott McKenzie",1967,"San Francisco (Wear Some Flowers in Your Hair)",NULL
"The Andrews Sisters",1945,"Rum & Coca-Cola",NULL
"Billy Swan",1975,"I Can Help",NULL
"The Goo Goo Dolls",1998,Iris,NULL
"Sam The Sham & The Pharaohs",1965,"Wooly Bully",NULL
"The Everly Brothers",1960,"Cathy's Clown",NULL
"Katy Perry & Snoop Dogg",2010,"California Gurls",NULL
"Maroon 5 & Christina Aguilera",2011,"Moves Like Jagger",NULL
"Dick Haymes",1943,"You'll Never Know",NULL
Lobo,1973,"I'd Love You to Want Me",NULL
"Kanye West & Jamie Foxx",2005,"Gold Digger",NULL
"Scatman John",1995,"Scatman (Ski-Ba-Bop-Ba-Dop-Bop)",NULL
"Gene Autry",1949,"Rudolph, the Red-Nosed Reindeer",NULL
"The Tornados",1962,Telstar,NULL
"Paul McCartney & Michael Jackson",1983,"Say Say Say",NULL
"Michael Jackson & Janet Jackson",1995,Scream,NULL
"Norman Greenbaum",1970,"Spirit in the Sky",NULL
"Johnnie Ray",1951,Cry,NULL
"Del Shannon",1961,Runaway,NULL
"Paul Anka",1957,Diana,NULL
"Jerry Lee Lewis",1957,"Great Balls of Fire",NULL
"Flo-Rida & Ke$ha",2009,"Right Round",NULL
"Anita Ward",1979,"Ring My Bell",NULL
"Taio Cruz",2010,Dynamite,NULL
Mario,2005,"Let Me Love You",NULL
M,1979,"Pop Muzik",NULL
"Johnny Horton",1959,"Battle of New Orleans",NULL
"The Sweet",1973,"The Ballroom Blitz",NULL
"Timbaland & Keri Hilson",2007,"The Way I Are",NULL
"Al Jolson",1920,Swanee,NULL
"Al Martino",1952,"Here in My Heart",NULL
"Fifth Dimension",1969,"Aquarius/Let The Sunshine In",NULL
"Gordon Jenkins & The Weavers",1950,"Goodnight, Irene",NULL
"F R David",1982,Words,NULL
"Sixpence None The Richer",1999,"Kiss Me",NULL
"Irene Cara",1980,Fame,NULL
"Tommy James & the Shondells",1969,"Crimson & Clover",NULL
"Hot Butter",1972,Popcorn,NULL
"Captain & Tennille",1975,"Love Will Keep Us Together",NULL
"Perez Prado",1955,"Cherry Pink & Apple Blossom White",NULL
"Ini Kamoze",1995,"Here Comes the Hotstepper",NULL
"The Box Tops",1967,"The Letter",NULL
"Pee Wee Hunt",1948,"12th Street Rag",NULL
"The Platters",1955,"Only You (And You Alone)",NULL
Exile,1978,"Kiss You All Over",NULL
"The Four Seasons",1976,"December 1963 (Oh What a Night)",NULL
"Al Dexter & his Troopers",1943,"Pistol Packin' Mama",NULL
"Pat Boone",1957,"Love Letters in the Sand",NULL
"Paul & Paula",1963,"Hey Paula",NULL
Kingsmen,1963,"Louie Louie",NULL
"The Ronettes",1963,"Be My Baby",NULL
"The Manhattans",1976,"Kiss & Say Goodbye",NULL
"Three Dog Night",1971,"Joy to the World",NULL
"Perry Como",1953,"Don't Let the Stars Get in Your Eyes",NULL
"Dean Martin",1956,"Memories Are Made of This",NULL
"The Drifters",1960,"Save the Last Dance For Me",NULL
"Kitty Kallen",1954,"Little Things Mean a Lot",NULL
"Nancy Sinatra & Frank Sinatra",1967,"Somethin' Stupid",NULL
"Vera Lynn",1952,"Auf Wiederseh'n Sweetheart",NULL
"Bobby Goldsboro",1968,Honey,NULL
"Musical Youth",1982,"Pass the Dutchie",NULL
"Joe Cocker & Jennifer Warnes",1982,"Up Where We Belong",NULL
"B J Thomas",1970,"Raindrops Keep Falling On My Head",NULL
"John Fred & The Playboy Band",1968,"Judy in Disguise (With Glasses)",NULL
"Pitbull, Ne-Yo, Afrojack & Nayer",2011,"Give Me Everything",NULL
"Trini Lopez",1963,"If I Had a Hammer",NULL
"Francis Craig",1947,"Near You",NULL
"Frankie Avalon",1959,Venus,NULL
"Tony Orlando & Dawn",1971,"Knock Three Times",NULL
"Amii Stewart",1979,"Knock On Wood",NULL
"Les Paul & Mary Ford",1951,"How High the Moon",NULL
"Percy Faith",1953,"The Song From Moulin Rouge (Where Is Your Heart)",NULL
"Frankie Valli",1978,Grease,NULL
"Robin Thicke, T.I. & Pharrell Williams",2013,"Blurred Lines",NULL
"The Sweet",1975,"Fox On the Run",NULL
"Ray Parker Jr",1984,Ghostbusters,NULL
"Uncle Kracker",2001,"Follow Me",NULL
"Gwen Stefani & Akon",2007,"The Sweet Escape",NULL
"The Platters",1956,"The Great Pretender",NULL
Champs,1958,Tequila,NULL
"Plain White T's",2007,"Hey There Delilah",NULL
"Babylon Zoo",1996,Spaceman,NULL
"New Vaudeville Band",1966,"Winchester Cathedral",NULL
"Al Green",1972,"Let's Stay Together",NULL
"Diana King",1995,"Shy Guy",NULL
"Jennifer Paige",1998,Crush,NULL
Kaoma,1989,Lambada,NULL
"The Everly Brothers",1958,"All I Have to Do is Dream",NULL
"George Michael & Elton John",1992,"Don't Let the Sun Go Down On Me",NULL
"The Kalin Twins",1958,When,NULL
"Little Eva",1962,"The Loco-Motion",NULL
O-Zone,2004,"Dragostea Din Tei",NULL
"Rosemary Clooney",1954,"Hey There",NULL
"Pras Michel",1998,"Ghetto Supastar (That is What You Are)",NULL
"Bellamy Brothers",1976,"Let Your Love Flow",NULL
"Britney Spears & Madonna",2003,"Me Against the Music",NULL
"Chris Montez",1962,"Let's Dance",NULL
"Joe Dolce",1981,"Shaddup You Face",NULL
"Tommy Roe",1969,Dizzy,NULL
"Vanessa Williams",1992,"Save the Best For Last",NULL
"Run DMC & Jason Nevins",1998,"It's Like That",NULL
"Daniel Boone",1972,"Beautiful Sunday",NULL
"Edwin Hawkins Singers",1969,"Oh Happy Day",NULL
"Kenny Loggins",1984,Footloose,NULL
"Murray Head",1985,"One Night in Bangkok",NULL
"Paula Abdul & The Wild Pair",1990,"Opposites Attract",NULL
"50 Cent & Olivia",2005,"Candy Shop",NULL
"Conway Twitty",1958,"It's Only Make Believe",NULL
"Paul Hardcastle",1985,19,NULL
"Barry Ryan",1968,Eloise,NULL
"Paul Anka",1959,"Lonely Boy",NULL
"Mr Acker Bilk",1962,"Stranger On the Shore",NULL
"Brotherhood of Man",1976,"Save All Your Kisses For Me",NULL
"Lloyd Price",1959,"(You've Got) Personality",NULL
"Artie Shaw",1938,"Begin the Beguine",NULL
"Cliff Richard",1979,"We Don't Talk Anymore",NULL
"The Marcels",1961,"Blue Moon",NULL
"Art Mooney",1948,"I'm Looking Over a Four Leaf Clover",NULL
"John Travolta & Olivia Newton-John",1978,"Summer Nights",NULL
"The Everly Brothers",1958,"Bird Dog",NULL
"LeAnn Rimes",1998,"How Do I Live?",NULL
"Ricky Nelson",1961,"Hello Mary Lou",NULL
"Mariah Carey & Whitney Houston",1998,"When You Believe",NULL
"Santa Esmerelda",1977,"Don't Let Me Be Misunderstood",NULL
"Guy Mitchell",1956,"Singing The Blues",NULL
Psy,2012,"Gangnam Style",NULL
Bananarama,1986,Venus,NULL
"The Rubettes",1974,"Sugar Baby Love",NULL
"Lady GaGa & Beyonce",2010,Telephone,NULL
"Artie Shaw",1940,Frenesi,NULL
"Jimmy Dorsey",1942,Tangerine,NULL
"Big Mountain",1994,"Baby, I Love Your Way",NULL
Lifehouse,2001,"Hanging by a Moment",NULL
Emilia,1998,"Big Big World",NULL
"Perez Prado",1958,Patricia,NULL
"Percy Sledge",1966,"When a Man Loves a Woman",NULL
"Chuck Berry",1958,"Johnny B Goode",NULL
"Snoop Dogg & Pharrell Williams",2004,"Drop it Like It's Hot",NULL
"Sandie Shaw",1967,"Puppet On a String",NULL
Christie,1970,"Yellow River",NULL
"Percy Faith",1952,Delicado,NULL
"Sheena Easton",1981,"Morning Train (Nine to Five)",NULL
"Frankie Laine",1949,"Mule Train",NULL
"Perry Como",1945,"Till The End of Time",NULL
fun.,2012,"We Are Young",NULL
"Mike & The Mechanics",1989,"The Living Years",NULL
"Four Aces",1955,"Love is a Many Splendoured Thing",NULL
Pussycat,1976,Mississippi,NULL
"Tommy Edwards",1958,"It's All in the Game",NULL
"Perry Como",1946,"Prisoner of Love",NULL
"Donna Lewis",1996,"I Love You Always Forever",NULL
"Dolly Parton",1981,"9 to 5",NULL
"Kay Kyser",1948,"The Woody Woodpecker Song",NULL
"Eddie Fisher",1953,"I'm Walking Behind You",NULL
Afroman,2001,"Because I Got High",NULL
"Dean Martin",1953,"That's Amore",NULL
Buggles,1979,"Video Killed the Radio Star",NULL
"Jimmy Dorsey",1944,"Besame Mucho",NULL
"Michael Jackson & Siedah Garrett",1987,"I Just Can't Stop Loving You",NULL
"Usher & Alicia Keys",2004,"My Boo",NULL
"DNA & Suzanne Vega",1990,"Tom's Diner",NULL
"Silver Convention",1975,"Fly Robin Fly",NULL
"Jordin Sparks & Chris Brown",2008,"No Air",NULL
"MC Sar & The Real McCoy",1994,"Another Night",NULL
"Sara Bareilles",2008,"Love Song",NULL
"Tommy Dorsey & Frank Sinatra",1940,"I'll Never Smile Again",NULL
"Fred Astaire",1936,"The Way You Look Tonight",NULL
"Bobby Darin",1959,"Dream Lover",NULL
"The Diamonds",1957,"Little Darlin'",NULL
"Van McCoy",1975,"The Hustle",NULL
"Chris Brown & Juelz Santana",2006,"Run It",NULL
"Evelyn Knight",1949,"A Little Bird Told Me",NULL
"Usher & Young Jeezy",2008,"Love In This Club",NULL
"U2 & Green Day",2006,"The Saints are Coming",NULL
"Fred Astaire & Leo Reisman",1932,"Night & Day",NULL
"Shirley & Company",1975,"Shame, Shame, Shame",NULL
"Kay Starr",1952,"Wheel of Fortune",NULL
OMC,1996,"How Bizarre",NULL
"The Fireballs",1963,"Sugar Shack",NULL
"Gary Puckett & The Union Gap",1968,"Young Girl",NULL
"Eddie Fisher",1954,"I Need You Now",NULL
"K-Ci & JoJo",1998,"All My Life",NULL
"Youssou N'Dour & Neneh Cherry",1994,"7 Seconds",NULL
"Sam Cooke",1960,"Wonderful World",NULL
"Phil Harris",1950,"The Thing",NULL
"Brenda Lee",1960,"I'm Sorry",NULL
"Usher & will.i.am",2010,OMG,NULL
"Frankie Laine",1949,"That Lucky Old Sun (Just Rolls Around Heaven All Day)",NULL
Flo-Rida,2012,Whistle,NULL
"Kate Smith",1939,"God Bless America",NULL
"Harry James",1942,"Sleepy Lagoon",NULL
Next,1998,"Too Close",NULL
"1910 Fruitgum Co",1968,"Simon Says",NULL
"Perry Como",1954,Wanted,NULL
"DJ Jazzy Jeff & The Fresh Prince",1993,"Boom! Shake the Room",NULL
"Chaka Khan",1984,"I Feel For You",NULL
"The Foundations",1969,"Build Me Up Buttercup",NULL
"Katy Perry & Kanye West",2011,E.T.,NULL
"Paul Whiteman",1920,Whispering,NULL
"Estelle & Kanye West",2008,"American Boy",NULL
"Patti Page",1953,"How Much is That Doggy in the Window?",NULL
"BoB & Hayley Williams",2010,Airplanes,NULL
"Bobby Vinton",1962,"Roses Are Red",NULL
"Don Cornell",1954,"Hold My Hand",NULL
"Timbaland & Nelly Furtado & Justin Timberlake",2007,"Give it to Me",NULL
"Mario Winans",2004,"I Don't Wanna Know",NULL
"Jimmie Rodgers",1928,"T For Texas (Blue Yodel No 1)",NULL
"Peggy Lee",1948,"Manana (Is Soon Enough For Me)",NULL
"Manfred Mann",1968,"Mighty Quinn",NULL
"The Troggs",1966,"Wild Thing",NULL
"Eddie Fisher",1954,"Oh My Papa (O Mein Papa)",NULL
"Lisa Loeb & Nine Stories",1994,"Stay (I Missed You)",NULL
"Jerry Lee Lewis",1957,"Whole Lotta Shakin' Goin' On",NULL
Highwaymen,1961,"Michael Row the Boat",NULL
"Debbie Reynolds",1957,Tammy,NULL
"Guess Who",1970,"American Woman",NULL
"Nini Rosso",1965,"Il Silenzio",NULL
"Pop Tops",1971,"Mammy Blue",NULL
"Cliff Richard",1959,"Living Doll",NULL
"Johnnie Ray",1956,"Just Walkin' in the Rain",NULL
"Inner Circle",1992,"Sweat (A La La La La Song)",NULL
"Meredith Brooks",1997,Bitch,NULL
"2Pac & Dr Dre",1996,"California Love",NULL
"KC & The Sunshine Band",1975,"That's the Way (I Like It)",NULL
"Connie Francis",1958,"Who's Sorry Now?",NULL
Kelis,2004,Milkshake,NULL
"Al Hibbler",1955,"Unchained Melody",NULL
"Carl Perkins",1956,"Blue Suede Shoes",NULL
"Macklemore & Ryan Lewis",2013,"Thrift Shop",NULL
"Lovin' Spoonful",1966,"Summer in the City",NULL
"Four Aces",1954,"Three Coins in the Fountain",NULL
"Herman's Hermits",1966,"No Milk Today",NULL
"Sheena Easton",1981,"For Your Eyes Only",NULL
"Little Peggy March",1963,"I Will Follow Him",NULL
"The Browns",1959,"The Three Bells (Les Trois Cloches)",NULL
"Sugarhill Gang",1980,"Rapper's Delight",NULL
"Frankie Laine",1953,"I Believe",NULL
"Eric Prydz",2004,"Call On Me",NULL
"The Platters",1956,"My Prayer",NULL
"Kyu Sakamoto",1963,Sukiyaki,NULL
"Donny Osmond",1972,"Puppy Love",NULL
"Johnny Nash",1972,"I Can See Clearly Now",NULL
"The Proclaimers",1993,"I'm Gonna Be (500 miles)",NULL
"Julie Covington",1977,"Don't Cry For Me Argentina",NULL
"Jay-Z & Alicia Keys",2009,"Empire State Of Mind",NULL
"Charles & Eddie",1992,"Would I Lie to You?",NULL
"No Mercy",1996,"Where Do You Go?",NULL
"Paper Lace",1974,"The Night Chicago Died",NULL
"The Andrews Sisters",1950,"I Can Dream, Can't I?",NULL
"KC & The Sunshine Band",1980,"Please Don't Go",NULL
"Glenn Medeiros",1987,"Nothing's Gonna Change My Love For You",NULL
"Petula Clark",1967,"This is My Song",NULL
"Los Bravos",1966,"Black is Black",NULL
Flo-Rida,2012,"Good Feeling",NULL
"Manfred Mann",1964,"Do Wah Diddy Diddy",NULL
"Leroy Anderson",1952,"Blue Tango",NULL
"Jane Birkin & Serge Gainsbourg",1969,"Je T'Aime (Moi Non Plus)",NULL
"Edward Maya & Vika Jigulina",2010,"Stereo love",NULL
Baltimora,1985,"Tarzan Boy",NULL
"BoB & Bruno Mars",2010,"Nothin' on You",NULL
"Michael Sembello",1983,Maniac,NULL
Trio,1982,"Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha",NULL
"Fred Astaire",1935,"Cheek to Cheek",NULL
"Kevin Lyttle",2004,"Turn Me On",NULL
"Baha Men",2000,"Who Let the Dogs Out?",NULL
"Crystal Waters",1991,"Gypsy Woman (La Da Dee)",NULL
"Peaches & Herb",1979,Reunited,NULL
"Luther Vandross & Mariah Carey",1994,"Endless Love",NULL
"Les Paul & Mary Ford",1951,"Mockin' Bird Hill",NULL
"The Sugababes",2005,"Push the Button",NULL
"Desmond Dekker",1969,Israelites,NULL
"Kay Kyser",1948,"On a Slow Boat to China",NULL
"The New Radicals",1999,"You Get What You Give",NULL
"The Turtles",1967,"Happy Together",NULL
"Bessie Smith",1923,"Down Hearted Blues",NULL
"Patti LaBelle & Michael McDonald",1986,"On My Own",NULL
"will.i.am & Britney Spears",2013,"Scream & Shout",NULL
"Shakespear's Sister",1992,Stay,NULL
"Connie Francis",1960,"Everybody's Somebody's Fool",NULL
"David Soul",1977,"Don't Give Up On Us",NULL
"Natasha Bedingfield",2004,"These Words",NULL
"Yolanda Be Cool & DCup",2010,"We No Speak Americano",NULL
"The Four Seasons",1962,"Big Girls Don't Cry",NULL
"The Tremeloes",1967,"Silence is Golden",NULL
"Neil Sedaka",1959,"Oh Carol",NULL
"Peter Cetera",1986,"Glory of Love",NULL
"Harry James",1943,"I've Heard That Song Before",NULL
"Walter Murphy & The Big Apple Band",1976,"A Fifth of Beethoven",NULL
"BLACKstreet & Dr Dre",1996,"No Diggity",NULL
"Tommy James & the Shondells",1968,"Mony Mony",NULL
"Aretha Franklin & George Michael",1987,"I Knew You Were Waiting (For Me)",NULL
Deee-Lite,1990,"Groove is in the Heart",NULL
"The Emotions",1977,"Best of My Love",NULL
"Yazz & The Plastic Population",1988,"The Only Way is Up",NULL
Avicii,2013,"Wake Me Up",NULL
"The Sweet",1973,Blockbuster,NULL
"Ned Miller",1963,"From a Jack to a King",NULL
"Rosemary Clooney",1954,"This Ole House",NULL
"Taio Cruz & Ludacris",2010,"Break Your Heart",NULL
Rockwell,1984,"Somebody's Watching Me",NULL
Lorde,2013,Royals,NULL
"Fool's Garden",1996,"The Lemon Tree",NULL
Free,1970,"All Right Now",NULL
"The New Seekers",1972,"I'd Like to Teach the World to Sing",NULL
"The Royal Scots Dragoon Guards",1972,"Amazing Grace",NULL
"Chris Barber's Jazz Band",1959,"Petite Fleur (Little Flower)",NULL
Lumidee,2003,"Never Leave You (Uh Oooh Uh Oooh)",NULL
"David Bowie & Mick Jagger",1985,"Dancing in the Street",NULL
"Mary Wells",1964,"My Guy",NULL
"Mouth & MacNeal",1972,"How Do You Do!",NULL
"Beyonce & Jay-Z",2006,"Deja Vu",NULL
Steam,1970,"Na Na Hey Hey (Kiss Him Goodbye)",NULL
"White Town",1997,"Your Woman",NULL
"Neil Sedaka",1962,"Breaking Up is Hard to Do",NULL
"Johnny Mercer",1945,"On the Atchison, Topeka & the Santa Fe",NULL
"The Andrews Sisters",1938,"Bei Mir Bist Du Schoen",NULL
"Vaughn Monroe",1947,Ballerina,NULL
"Sammy Kaye",1941,Daddy,NULL
Iyaz,2010,Replay,NULL
"Dusty Springfield & The Pet Shop Boys",1987,"What Have I Done to Deserve This",NULL
"Band Aid 20",2004,"Do They Know It's Christmas?",NULL
"50 Cent & Justin Timberlake",2007,"Ayo Technology",NULL
Modjo,2000,"Lady (Hear Me Tonight)",NULL
"Gene Austin",1926,"Bye Bye, Blackbird",NULL
"Hot Chocolate",1976,"You Sexy Thing",NULL
"The Ink Spots",1941,"We Three (My Echo, My Shadow & Me)",NULL
"KC & The Sunshine Band",1976,"(Shake, Shake, Shake) Shake Your Booty",NULL
"Cutting Crew",1986,"(I Just) Died in Your Arms Tonight",NULL
"Barry McGuire",1965,"Eve of Destruction",NULL
"The Everly Brothers",1957,"Bye Bye Love",NULL
"Rosemary Clooney",1954,"Mambo Italiano",NULL
"The Simpsons",1991,"Do the Bartman",NULL
"Jimmy Boyd",1952,"I Saw Mommy Kissing Santa Claus",NULL
"Lesley Gore",1963,"It's My Party",NULL
"Vic Damone",1949,"You're Breakin' My Heart",NULL
"Frankie Lymon & The Teenagers",1956,"Why Do Fools Fall in Love?",NULL
"Smokey Robinson",1970,"Tears of a Clown",NULL
"Sugar Ray",1999,"Every Morning",NULL
"The Calling",2002,"Wherever You Will Go",NULL
"Club Nouveau",1987,"Lean On Me",NULL
"Perry Como",1947,"Chi-Baba, Chi-Baba (My Bambino Go to Sleep)",NULL
"Chad Kroeger",2002,"The Hero",NULL
"Johnny Preston",1960,"Running Bear",NULL
"Hues Corporation",1974,"Rock the Boat",NULL
"Mr President",1996,"Coco Jamboo",NULL
"Nelly & Tim McGraw",2005,"Over & Over",NULL
Clout,1978,Substitute,NULL
Pitbull,2009,"I Know You Want Me (calle Ocho)",NULL
"Perry Como",1949,"Some Enchanted Evening",NULL
"Pink & Nate Ruess",2013,"Just Give Me a Reason",NULL
"The Three Degrees",1974,"When Will I See You Again?",NULL
"Cab Calloway & his Cotton Club Orchestra",1931,"Minnie the Moocher",NULL
"Danny & The Juniors",1957,"At the Hop",NULL
"The Ames Brothers",1953,"You You You",NULL
"Akon & Snoop Dogg",2007,"I Wanna Love You",NULL
"Dean Martin",1964,"Everybody Loves Somebody",NULL
"Toni Basil",1982,Mickey,NULL
"Millie Small",1964,"My Boy Lollipop",NULL
"Chris Brown & T-Pain",2007,"Kiss Kiss",NULL
"Booker T & the MGs",1962,"Green Onions",NULL
"Run DMC & Aerosmith",1986,"Walk This Way",NULL
Martika,1989,"Toy Soldiers",NULL
"Mel & Kim",1987,Respectable,NULL
"Freda Payne",1970,"Band of Gold",NULL
"Regina Belle & Peabo Bryson",1993,"A Whole New World (Aladdin's Theme)",NULL
"Crazy World of Arthur Brown",1968,Fire,NULL
"Wilbert Harrison",1959,"Kansas City",NULL
"Eve & Gwen Stefani",2001,"Let Me Blow Ya Mind",NULL
"The Mills Brothers",1944,"You Always Hurt the One You Love",NULL
"Dave Edmunds",1971,"I Hear You Knockin'",NULL
LMFAO,2011,"Sexy and I Know It",NULL
"Kay Kyser",1942,"(I Got Spurs That) Jingle, Jangle, Jingle",NULL
"John Paul Young",1978,"Love is in the Air",NULL
"Harry James",1943,"I Had the Craziest Dream",NULL
"Cee-Lo Green",2010,"F**k You/forget You",NULL
"The Boomtown Rats",1979,"I Don't Like Mondays",NULL
"T.I. & Rihanna",2008,"Live Your Life",NULL
"Brian Hyland",1960,"Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini",NULL
"Smokey Robinson",1981,"Being With You",NULL
"Les Brown",1945,"My Dreams Are Getting Better All the Time",NULL
"Bing Crosby & Les Paul",1945,"It's Been a Long, Long Time",NULL
Kajagoogoo,1983,"Too Shy",NULL
"Deep Blue Something",1996,"Breakfast At Tiffany's",NULL
"Edwin Starr",1970,War,NULL
"The Ames Brothers",1950,"Rag Mop",NULL
"A Taste of Honey",1978,"Boogie Oogie Oogie",NULL
"Perry Como",1951,"If (They Made Me a King)",NULL
"Cliff Richard",1963,"Summer Holiday",NULL
"Dead Or Alive",1985,"You Spin me 'round (Like a Record)",NULL
"Vernon Dalhart",1925,"The Prisoner's Song",NULL
"Kenny Rogers & Dolly Parton",1983,"Islands in the Stream",NULL
"Sam Cooke",1957,"You Send Me",NULL
"Men Without Hats",1983,"The Safety Dance",NULL
"Tab Hunter",1957,"Young Love",NULL
"KC & The Sunshine Band",1975,"Get Down Tonight",NULL
"Maxi Priest",1990,"Close to You",NULL
"Doris Day",1950,"Bewitched (bothered & bewildered)",NULL
"Patti Page",1952,"I Went to Your Wedding",NULL
Sandra,1985,"(I'll Never Be) Maria Magdalena",NULL
"The Cowsills",1969,Hair,NULL
"Count Basie",1937,"One O'Clock Jump",NULL
"Georgie Fame",1968,"Ballad of Bonnie & Clyde",NULL
"Jimmy Dorsey",1941,"Maria Elena",NULL
"Snoop Dogg & Charlie Wilson & Justin Timberlake",2005,Signs,NULL
MARRS,1987,"Pump Up the Volume",NULL
"The Seekers",1967,"Georgy Girl",NULL
"The Song Spinners",1943,"Comin' in on a Wing & a Prayer",NULL
"Captain & Tennille",1980,"Do That to Me One More Time",NULL
"Stevie B",1991,"Because I Love You (The Postman Song)",NULL
"Minnie Riperton",1975,"Loving You",NULL
"Spiller & Sophie Ellis-Bextor",2000,"Groovejet (If This Ain't Love)",NULL
"The Rembrandts",1995,"I'll Be There For You",NULL
"Cliff Edwards (Ukelele Ike)",1940,"When You Wish Upon a Star",NULL
"Flo-Rida & David Guetta",2010,"Club can't handle me",NULL
"The Sweet",1972,"Little Willy",NULL
"Jay Sean & Lil' Wayne",2009,Down,NULL
"The Shirelles",1960,"Will You Love Me Tomorrow",NULL
Contours,1962,"Do You Love Me?",NULL
"The Shadows",1960,Apache,NULL
"Maureen McGovern",1973,"The Morning After",NULL
"Tex Williams & The Western Caravan",1947,"Smoke! Smoke! Smoke! (That Cigarette)",NULL
"Frank Chacksfield",1953,"Terry's Theme From 'Limelight'",NULL
